LanguagePack en-US|Translation
moorl-merchant-finder.deliveryTimeUnknown|Unknown - Products will be requested on order
moorl-merchant-finder.description|Description
moorl-merchant-finder.desiredDate|Desired pick up date
moorl-merchant-finder.desiredTime|Desired pick up time
moorl-merchant-finder.displayOnMap|Display on map
moorl-merchant-finder.distance|Distance
moorl-merchant-finder.emptyResultMessage|No merchants found
moorl-merchant-finder.findMerchants|Find merchants
moorl-merchant-finder.forTheSearch|for the search 
moorl-merchant-finder.forTheSearchZipcode|in zipcode and distance km surroundings 
moorl-merchant-finder.highlight|Tip
moorl-merchant-finder.km|KM
moorl-merchant-finder.loading|Loading...
moorl-merchant-finder.manufacturers|Manufacturers
moorl-merchant-finder.merchant|Merchant
moorl-merchant-finder.merchants|Merchants
moorl-merchant-finder.merchantUrl|Website
moorl-merchant-finder.more|More
moorl-merchant-finder.myLocation|Use my current location
moorl-merchant-finder.mySelection|My selection
moorl-merchant-finder.noMerchantSelected|Product not available. No merchant selected.
moorl-merchant-finder.none|none
moorl-merchant-finder.openingHours|Opening hours
moorl-merchant-finder.outOfStock|Product not available. Your selected merchant do not have this product in stock.
moorl-merchant-finder.phoneNumber|Phone
moorl-merchant-finder.pickupDateSet|Pick up time has been set
moorl-merchant-finder.productAvailability|Product availability
moorl-merchant-finder.productNotAvailable|Product not available. Please contact the shop support for more information.
moorl-merchant-finder.radius|Radius
moorl-merchant-finder.resetSelection|Reset selection
moorl-merchant-finder.resultsFound|count results found
moorl-merchant-finder.save|Save
moorl-merchant-finder.search|Search
moorl-merchant-finder.searchFor|Search for
moorl-merchant-finder.searchLocation|Search location
moorl-merchant-finder.searchRules.hasLogo|Merchant with logo
moorl-merchant-finder.searchRules.hasPriority|Priority merchant
moorl-merchant-finder.searchRules.isHighlighted|Premium merchant
moorl-merchant-finder.searchRules.isNotHighlighted|Normal merchant
moorl-merchant-finder.selectedMerchant|Selected merchant
moorl-merchant-finder.sendMail|Mail
moorl-merchant-finder.shop|Shop
moorl-merchant-finder.shopUrl|Visit shop
moorl-merchant-finder.stockInfo|Stock information
moorl-merchant-finder.tags|Tags
moorl-merchant-finder.thereAre|there are 
moorl-merchant-finder.www|WWW
moorl-merchant-finder.zipcodeCity|zipcode, city
moorl-merchant-finder.zipcodeCityEnter|Type a zipcode or city and press enter
nimbits-pricerequests.cart.cartRequestButton|Request an offer
nimbits-pricerequests.cart.dontAddByProductNumber|This product cannot be added to the cart.
nimbits-pricerequests.detail.available|Available
nimbits-pricerequests.detail.button.openrequestform|Request an offer
nimbits-pricerequests.detail.restock|"{1} Available in 1 day|]1,Inf[ Available in %restockTime% days"
nimbits-pricerequests.detail.text.priceonrequest|Price on request
nimbits-pricerequests.fail.alert|Request wasn't send - a error occured. Please try again.
nimbits-pricerequests.finish.alert|Request sent successfully
nimbits-pricerequests.finish.buttonBack|Back to the shop
nimbits-pricerequests.listing.button.openrequestform|Request an offer
nimbits-pricerequests.listing.text.priceonrequest|Price on request
nimbits-pricerequests.mail.address|Address
nimbits-pricerequests.mail.amount|Amount
nimbits-pricerequests.mail.article|Article
nimbits-pricerequests.mail.city|City
nimbits-pricerequests.mail.comment|Customers comment
nimbits-pricerequests.mail.company|Company
nimbits-pricerequests.mail.country|Country
nimbits-pricerequests.mail.customersendername|Price on Request
nimbits-pricerequests.mail.housenumber|Housenumber
nimbits-pricerequests.mail.mail|Mail
nimbits-pricerequests.mail.name|Name
nimbits-pricerequests.mail.ordernumber|Ordernumber
nimbits-pricerequests.mail.price|Price
nimbits-pricerequests.mail.pricegross|Incl. Tax
nimbits-pricerequests.mail.pricegrosssum|Incl. Tax Sum
nimbits-pricerequests.mail.pricenet|Excl. Tax
nimbits-pricerequests.mail.pricenetsum|Excl. Tax Sum
nimbits-pricerequests.mail.requestfirst|Price request from
nimbits-pricerequests.mail.requestsecond|:
nimbits-pricerequests.mail.shopownersendername|Price on Request
nimbits-pricerequests.mail.street|Street
nimbits-pricerequests.mail.subject|Price on Request
nimbits-pricerequests.mail.subjectcart|Cart Request
nimbits-pricerequests.mail.subjectshopowner|Price on Request
nimbits-pricerequests.mail.subjectshopownercart|Cart Request
nimbits-pricerequests.mail.zipcode|Zipcode
nimbits-pricerequests.popup.city|City
nimbits-pricerequests.popup.closebutton|Close
nimbits-pricerequests.popup.company|Company
nimbits-pricerequests.popup.country|Country
nimbits-pricerequests.popup.dataprivacytext|"I have read, understood and agree to the <a href=""/privacy"" target=""_blank"" rel=""noreferrer noopener""> Privacy Policy </a>."
nimbits-pricerequests.popup.desiredprice|Desired price in 
nimbits-pricerequests.popup.entervalidcity|Please enter a valid city.
nimbits-pricerequests.popup.entervalidcountry|Please enter a valid country.
nimbits-pricerequests.popup.entervalidhousenumber|Please enter a valid housenumber.
nimbits-pricerequests.popup.entervalidmail|Please enter a valid email address.
nimbits-pricerequests.popup.entervalidstreet|Please enter a valid street.
nimbits-pricerequests.popup.entervalidzipcode|Please enter a valid zipcode.
nimbits-pricerequests.popup.genderm|Mr
nimbits-pricerequests.popup.gendern|Mx
nimbits-pricerequests.popup.genderw|Mrs
nimbits-pricerequests.popup.housenumber|Housenumber
nimbits-pricerequests.popup.mail|Mail adress
